"city","prop_name","url","footage","zipcode","bed","bath","lat","longitude","address","date","price"
"Vacaville","A True Gem with Lush, Mature Landscaping","http://www.craigslist.org/eby/apa/5423825784.html","811","95687","2","2","38.336572","-121.964250","901 Sara Ct. 114","2016-01-28","$1642"
"Martinez","$500 off your first months rent! Hurry in and reserve you new home!","http://www.craigslist.org/eby/apa/5423812405.html","682","94553","1","1","37.994495","-122.100610","486 morello ave","2016-01-28","$1725"
"Martinez","Last chance to reserve your new home at this lowered rent amount!!","http://www.craigslist.org/eby/apa/5423811926.html","1030","94553","2","2","37.994495","-122.100610","486 morello ave","2016-01-28","$1999"
"Concord","Spacious Two Bedroom Floor plan! Plenty of Closet Space! Tour TODAY!","http://www.craigslist.org/eby/apa/5423824700.html","1102","94520","2","2","37.982300","-122.036200","1555 Galindo st","2016-01-28","$2563"
"Oakland","A Lovely 1x1 apt. for Rent","http://www.craigslist.org/eby/apa/5423823023.html","650","94606","1","1","37.795700","-122.242900","3rd Ave at 12th Ave","2016-01-28","$2643"
"Martinez","ONLY 1 LEFT!!! HURRY IN!!","http://www.craigslist.org/eby/apa/5423812910.html","550","94553","0","1","37.994495","-122.100610","486 Morello Ave","2016-01-28","$1535"
"Richmond","30 - 16th street","http://www.craigslist.org/eby/apa/5423820485.html","","94801","2","1","37.931745","-122.354253","30 16th St at Chanslor","2016-01-28","$1100"
"Newark","H135 Patio Facing The Pool, Come Check It Out!","http://www.craigslist.org/eby/apa/5423818017.html","800","94560","2","2","37.533671","-122.035385","36826 Cherry Street","2016-01-28","$2479"
"Livermore","Downtown Livermore Location!","http://www.craigslist.org/eby/apa/5408654819.html","1744","94550","3","2.5","37.683830","-121.763064","212 Wood Street","2016-01-28","$2895"
"Dublin","Brand New Dublin Townhome","http://www.craigslist.org/eby/apa/5408654257.html","1883","94568","3","3.5","37.711543","-121.844361","2300 Carbondale Way","2016-01-28","$3395"
"Oakland","Charming 20's Studio Apt.","http://www.craigslist.org/eby/apa/5423817008.html","","94601","0","1","37.781095","-122.228909","28th Ave at International Blvd","2016-01-28","$1295"
"Emeryville","Long or Short Term Stay at Bridgwater - 20 mins from SF!","http://www.craigslist.org/eby/apa/5423816954.html","","94608","1","1","37.844026","-122.295580","6400 Christie Ave","2016-01-28","$2500"
"Concord","Luxury apartments located in the heart of Downtown Concord","http://www.craigslist.org/eby/apa/5423809286.html","1194","94520","0","","37.982300","-122.036200","","2016-01-28","$2590"
"Dublin","EXEC MINI-MANSION @DUBLIN GOLF COURSE","http://www.craigslist.org/eby/apa/5423816365.html","4855","94568","5","5.5","37.716600","-121.922600","2767 EAST SUGAR HILL TERRACE","2016-01-28","$5198"
"Emeryville","1 BR/Ba (Brand New) Bridgewater - 20 Mins from SF!!","http://www.craigslist.org/eby/apa/5413961212.html","","94608","1","1","37.844026","-122.295580","6400 Christie Ave","2016-01-28","$2600"
"Hercules","Spectacular Brand New JR 1BED! Lots of Natural Light, 1st Month FREE!!","http://www.craigslist.org/eby/apa/5423802136.html","615","94547","0","1","38.012522","-122.272680","1339 Sycamore Avenue","2016-01-28","$1975"
"Fremont","Luxury Top Floor 2 BR Apartment With A Fireplace!","http://www.craigslist.org/eby/apa/5423815112.html","982","94538","2","1","37.553288","-121.974528","39410 Civic Center Dr.","2016-01-28","$2774"
"Berkeley","2 Blocks from Campus! Renting Now! Don't Miss Out! One Month Free!!!","http://www.craigslist.org/eby/apa/5423814055.html","","94704","0","","37.867126","-122.259380","Channing Way at Telegraph Avenue","2016-01-28","$1075"
"Union City","Move in ready 716 sq ft 1x1 at Skylark Apartment Homes","http://www.craigslist.org/eby/apa/5423813946.html","716","94587","1","1","37.585265","-122.021413","34655 Skylark Drive","2016-01-28","$2048"
"Berkeley","June 1st Stunning 2 BED Granite Counters & H/W Floors","http://www.craigslist.org/eby/apa/5423801460.html","","94704","4","1","37.865687","-122.270049","2020 Channing","2016-01-28","$3995"
"San Leandro","LET US SHOW YOU LUXURY LIVING AT IT'S FINEST-YOU'LL LOVE IT!","http://www.craigslist.org/eby/apa/5392916201.html","800","94577","1","1","37.726129","-122.139176","1600 Grand Avenue","2016-01-28","$1855"
"Walnut Creek","Quaint 2 bedroom, 1.5 bath home in presigious WC neighborhood","http://www.craigslist.org/eby/apa/5420755953.html","1444","94596","2","1.5","37.885490","-122.041385","2216 Blackwood Drive","2016-01-28","$2900"
"Livermore","Spacious 4 bedroom, 2 bathroom home","http://www.craigslist.org/eby/apa/5423799139.html","1623","94550","4","2","37.683000","-121.763000","","2016-01-28","$1200"
"Hayward","THE EVER SO POPULAR SAN MATEO FLOORPLAN/1 LEFT FOR ASAP MOVE IN!!","http://www.craigslist.org/eby/apa/5423794944.html","901","94545","2","2","37.634484","-122.111963","25800 Industrial Boulevard","2016-01-28","$2124"
"Pleasanton","Dishwasher, Fitness Center, View, Charming Cottages w/ Private Yard","http://www.craigslist.org/eby/apa/5423810764.html","656","94566","1","1","37.664730","-121.842166","Vineyard Avenue","2016-01-28","$1895"
"Hayward","Large 2X2, Laminate Floors Throughout, 2 Pools, Business Center, Gym","http://www.craigslist.org/eby/apa/5423781191.html","939","94545","2","2","37.634484","-122.111963","25800 Industrial Boulevard","2016-01-28","$2224"
"Castro Valley","20451 Anita Ave - Fully Remodeled","http://www.craigslist.org/eby/apa/5423800836.html","","94546","2","1.5","37.696230","-122.083123","20451 Anita Ave","2016-01-28","$2495"
"Fremont","Two Story Condo for Rent $2700","http://www.craigslist.org/eby/apa/5401066229.html","1145","94538","3","1.5","37.530800","-121.971200","5626 chestnut commons","2016-01-28","$2700"
"Oakland","101 Fairmount Ave - Newly Renovated 2 Bed/ 1 Bath","http://www.craigslist.org/eby/apa/5423797444.html","","94611","2","1","37.816073","-122.260559","101 Fairmount Ave","2016-01-28","$2495"
"San Ramon","5-BR 4-BA Executive Home in Windemere","http://www.craigslist.org/eby/apa/5423806735.html","3800","94582","5","4","37.763600","-121.915500","Bethany Rd at Windemere Pkwy","2016-01-28","$4900"
"Richmond","Time to Make That Move!","http://www.craigslist.org/eby/apa/5423805941.html","999","94803","2","1","37.969300","-122.290100","6000 Sun Hill Circle","2016-01-28","$1995"
"Castro Valley","20477 Anita Ave - 3bed/2ba fully remodeled apartment","http://www.craigslist.org/eby/apa/5423805146.html","","94546","3","2","37.696036","-122.083096","20477 Anita Ave","2016-01-28","$2795"
"Emeryville","Beautiful 2x2 Coming up Available!!!!","http://www.craigslist.org/eby/apa/5423783132.html","1073","94608","2","2","37.844026","-122.295580","6399 Christie Ave","2016-01-28","$3574"
"Piedmont","95 Linda - 1bed/1ba upgraded unit and building!","http://www.craigslist.org/eby/apa/5423793033.html","","94611","1","1","37.825618","-122.248934","95 Linda Ave","2016-01-28","$2295"
"","Come See What We Have To Offer - 1 Bed 1 Bath w/Deposit Specials!","http://www.craigslist.org/eby/apa/5423802447.html","796","","1","1","","","","2016-01-28","$2215"
"Oakland","SIDE BY SIDE 2 plex. Pet OK. Hardwood floors. Parking and Laundry.","http://www.craigslist.org/eby/apa/5423793037.html","1131","94609","2","1","37.849764","-122.264421","680 Alcatraz Ave","2016-01-28","$2775"
"Newark","Want A $100.00 Amazon Card?? Call Us!","http://www.craigslist.org/eby/apa/5423801351.html","875","94560","2","1","37.533671","-122.035385","36826 Cherry Street","2016-01-28","$2480"
"Vallejo","You Will Love Coming Home To Harbor Park Apartment Homes!","http://www.craigslist.org/eby/apa/5423800960.html","1040","94590","2","1","38.081620","-122.240219","969 Porter Street","2016-01-28","$1460"
"","Private Villa for rent in Lafayette","http://www.craigslist.org/eby/apa/5416254013.html","3300","","4","4.5","","","","2016-01-28","$8500"
"Alameda","Sunny 3bd/2ba flat in Historic Victorian nr Gold Coast","http://www.craigslist.org/eby/apa/5418283853.html","1500","94501","3","2","37.763428","-122.252080","san jose at willow","2016-01-28","$3400"
"Oakland","747 Warfield, Beautiful Building, Grandlake, Sought After","http://www.craigslist.org/eby/apa/5423790985.html","","94610","2","1","37.812327","-122.245079","747 Warfield","2016-01-28","$2695"
"Berkeley","Exquisite Location To Easily Fall In Love With!!","http://www.craigslist.org/eby/apa/5423797809.html","632","94710","1","1","37.867284","-122.300187","2020 Fourth St","2016-01-28","$2775"
"Concord","Updated 1x1! New Appliances! New Carpet! New Paint!","http://www.craigslist.org/eby/apa/5423787775.html","552","94520","1","1","37.967351","-122.040680","1441 Detroit Ave","2016-01-28","$1550"
"Oakland","240 Grand Ave - Bright upper floor 2bed/1ba","http://www.craigslist.org/eby/apa/5423795856.html","","94610","2","1","37.810157","-122.259464","240 Grand Avenue","2016-01-28","$2895"
"","Brand new luxury 2 Bdrm,2 ba 1090 Sqft","http://www.craigslist.org/eby/apa/5423793197.html","1090","","2","2","","","","2016-01-28","$4500"
"Fremont","3 bed & 2 bath / 2 Story Remodel Coming Soon in February","http://www.craigslist.org/eby/apa/5423793153.html","1260","94538","3","2","37.512279","-121.952102","4022 Papillon Terrace","2016-01-28","$2750"
"Pleasanton","Love Where You Live!","http://www.craigslist.org/eby/apa/5423792734.html","881","94588","2","1","37.688422","-121.872336","3992 Stoneridge Drive","2016-01-28","$2315"
"San Carlos","3 Bedroom/1 Bathroom Single Family Home Available Feb.15th","http://www.craigslist.org/eby/apa/5417640358.html","1300","94070","3","1","37.500000","-122.250000","Penniman Ave. at High St.","2016-01-28","$2300"
"Pleasant Hill","WOW ONLY $1995 FOR A 2X2.","http://www.craigslist.org/eby/apa/5423791461.html","880","94523","2","2","37.971422","-122.065909","141 Golf Club Road","2016-01-28","$1995"
